employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1000,cory,Solis,Cory.Solis@company.com,2026-02-18,Financial-manager,Analytics,90663,,"5884 Pierce ShoresNorth Grant, NC 13351",Freemanton,SD,87220,1971-07-12,Active
1209,Carla,Alexander,CARLA.ALEXANDER@COMPANY.COM,2022-03-12,Nutritional-therapist,HR,"$99,592",1000,"4228 King CrescentNew Kevinchester, FM 35210",Jeffreyland,CO,89888,1981-04-09,inactive
1476,tara,BROWN,Tara.Brown@company.com,2018-01-28,Metallurgist,Analytics,86370,1007,"14618 Adam Hills Suite 640North Christopher, AL 57645",Simonchester,NH,68598,1996-05-08,inactive
1157,debra,Mack,Debra.Mack@company,2018-10-29,Scientist-physiological,Analytics,106894,,"91771 Julia VillageDanielleville, IL 49815",Davidstad,RI,18198,1971-03-28,inactive
1217,Anna,MARTIN,ANNA.MARTIN@COMPANY.COM,2021-04-22,Purchasing-manager,Analytics,"$92,666",1000,"340 Jared Passage Apt. 515Saraborough, NC 27095",East-Wendy,PA,39604,2000-04-12,inactive
1500,heather,Flores,HEATHER.FLORES@COMPANY.COM,2018-12-09,Sports-therapist,Analytics,78091,,,Smithmouth,PA,10395,1975-04-09,Active
1389,Edward,GARRETT,Edward.Garrett@company,2020-02-13,Firefighter,IT,"$119,037",,"234 Amy TraceJenniferberg, AZ 98432",Lake-Aaronville,PA,01271,2000-05-15,Active
1334,Joseph,WATSON,Joseph.Watson@company,2018-10-04,Consulting-civil-engineer,Finance,97703,,,Charlesburgh,IN,96848,1991-02-10,Active
1033,kimberly,Ramirez,Kimberly.Ramirez@company,2027-03-11,Equality-and-diversity-officer,Analytics,63872,,"05476 Jamie TrailCarrollfort, PR 99869",Lake-Seanshire,WA,95008,1993-12-20,inactive
1450,dawn,WARREN,Dawn.Warren@company,2024-07-30,Phytotherapist,IT,111379,,"07534 Rita SpurWilliamshaven, VT 82305",East-Christian,TN,40515,1998-11-29,Active
1183,Monica,GAMBLE,Monica.Gamble@company.com,2023-01-27,Biochemist-clinical,Analytics,118341,,"73898 Maria Expressway Apt. 047Christinemouth, AZ 58477",Port-Evelynchester,AL,64574,1971-10-03,inactive
1411,connie,Flores,Connie.Flores@company.com,2023-02-27,Equality-and-diversity-officer,it,"$46,007",,"281 Robert Via Suite 938Michaeltown, LA 26053",Christopherview,TN,93081,1995-05-20,ACTIVE
1089,cynthia,Manning,Cynthia.Manning@company.com,2021-04-28,Nurse-mental-health,IT,119615,,"356 Melissa ClubHarrishaven, KS 85761",West-Tonyachester,LA,66129,2004-11-16,ACTIVE
1242,Mary,Franklin,MARY.FRANKLIN@COMPANY.COM,2016-02-09,Publishing-copy,HR,30514,,"2912 Hill ManorLisastad, NE 85480",Conleyville,SC,01844,1995-01-16,inactive
1538,Randall,WILKERSON,RANDALL.WILKERSON@COMPANY.COM,2019-05-13,Nurse-children's,it,"$71,378",1004,"3029 Davis Bypass Apt. 943Jenniferhaven, FM 53060",North-Daniel,IA,68001,1997-04-28,ACTIVE
1302,Rebecca,Zamora,REBECCA.ZAMORA@COMPANY.COM,2017-11-24,Applications-developer,Finance,"$113,760",,"177 Schultz InletMichelleshire, NE 87044",West-Christy,CT,05896,1968-04-07,Active
1432,heather,MILLER,Heather.Miller@company.com,2019-03-20,Nurse-adult,it,40903,,"472 Joshua DaleElijahshire, KS 07560",New-Jennifer,PW,31467,1972-12-01,inactive
1044,brenda,CASTILLO,Brenda.Castillo@company.com,2025-10-27,Dietitian,it,"$39,035",,"71000 Scott VistaEast Melissa, SD 32211",Port-Michael,CA,32600,1988-12-07,ACTIVE
1192,Jason,PITTMAN,JASON.PITTMAN@COMPANY.COM,2016-03-20,Horticulturist-amenity,Finance,45260,1009,"306 John CurveSouth Gregory, ID 67702",Durantown,MA,57877,2005-11-19,ACTIVE
1046,laura,BAILEY,Laura.Bailey@company.com,2020-03-11,Immigration-officer,Analytics,59657,1010,"56912 Jeremy StationNorth Michellemouth, VT 94307",Gibsonchester,OR,63424,1985-08-03,Active
1239,mark,Johnson,MARK.JOHNSON@COMPANY.COM,2026-05-11,Surveyor-planning-and-development,HR,75955,,,East-Andrew,SC,55527,1982-03-06,inactive
1190,Brian,ARROYO,BRIAN.ARROYO@COMPANY.COM,2025-10-08,Conservator-furniture,IT,78394,,"4458 Sheila Overpass Apt. 009South Valerieville, ND 85372",East-Gregory,NY,33988,1976-08-17,inactive
1458,Thomas,Nelson,Thomas.Nelson@company.com,2016-04-26,IT-technical-support-officer,Analytics,"$87,015",1002,"408 Powell ShoresSouth Jeffreymouth, WY 91990",New-Jessicahaven,IL,06563,1988-04-15,Active
1117,Christopher,CORTEZ,Christopher.Cortez@company,2025-11-18,Conservation-officer-historic-buildings,HR,98603,1007,,South-Elizabeth,MO,84131,1985-04-06,Active
1574,Daniel,Green,Daniel.Green@company.com,2017-06-21,Photographer,Finance,59875,,"863 Hall CrescentMichelleborough, PR 21566",West-Cynthialand,NC,87869,1977-02-15,ACTIVE
1054,Cheryl,SWEENEY,Cheryl.Sweeney@company.com,2025-10-25,Sales-executive,it,"$39,185",,"95092 Moses PassageSouth Ryanton, MT 29495",Christopherberg,PR,44208,1996-11-13,inactive
1224,kristen,NASH,KRISTEN.NASH@COMPANY.COM,2020-02-12,Catering-manager,Analytics,37151,,"5520 Howard StationJenniferfort, PA 64314",East-Brenda,MA,93233,2005-07-22,ACTIVE
1122,tom,Garcia,Tom.Garcia@company.com,2016-09-02,Writer,it,"$76,868",1004,"471 Medina Junctions Apt. 522Lake Barry, ME 28788",Melissaport,RI,68864,1975-05-02,inactive
1567,stephanie,WILEY,Stephanie.Wiley@company.com,2020-08-20,Insurance-claims-handler,it,"$37,145",1008,"332 John Springs Apt. 934Port Cody, NC 67382",Port-Scottstad,MD,66027,1972-02-24,Active
1171,Jonathan,BASS,Jonathan.Bass@company,2022-09-20,Youth-worker,Analytics,77130,,"230 Stephanie Walk Apt. 040New Michellestad, PR 13180",South-Janetborough,MP,58672,1970-04-08,ACTIVE
1405,Cameron,TUCKER,Cameron.Tucker@company.com,2018-01-13,Insurance-claims-handler,Finance,"$109,016",1000,"03002 Sparks CliffFrazierstad, MI 42705",Lake-Elizabeth,WI,30057,1969-09-30,Active
1111,carolyn,JACKSON,CAROLYN.JACKSON@COMPANY.COM,2026-07-02,Haematologist,it,82719,,"3617 Morgan GreensDanielmouth, MP 86121",Lauraberg,MS,67153,1976-04-05,ACTIVE
1487,Amanda,Gray,Amanda.Gray@company.com,2023-07-15,Legal-executive,HR,64480,,"598 Elizabeth TurnpikeNew Matthewfurt, NY 55721",Shahborough,MS,98571,1991-11-20,ACTIVE
1007,charles,Ryan,Charles.Ryan@company,2024-03-15,Armed-forces-operational-officer,Finance,31975,,"PSC 4280, Box 3055APO AP 22096",Melaniemouth,MD,44595,1966-09-23,Active
